"id","usuarioId","dispositivoId","dataHora","tipo","latitude","longitude","precisao","dentroGeofence","enderecoIP","nomeRedeWiFi","aprovado","aprovadoPor","aprovadoEm","observacao","hashIntegridade","criadoEm"
"c47934a5-d885-4471-bb4e-5184c9d0d127","64f9799f-acf6-48c5-a00f-33feac8fae33","0416f3e5-6597-45e0-8c8a-0b074fdc7c81","2025-08-29 08:00:00-03","ENTRADA","-23.5505","-46.6333","10",True,"192.168.1.100","WiFi-Empresa",True,"8726c604-bbdd-4c03-b032-fe14ba6d34f7","2025-08-29 11:00:00","Entrada normal","hash_1759934660590_entrada1","2025-10-08 14:44:20.595"
"19a1487a-d0c2-4616-b3d7-497194e82933","64f9799f-acf6-48c5-a00f-33feac8fae33","0416f3e5-6597-45e0-8c8a-0b074fdc7c81","2025-08-29 12:00:00-03","SAIDA","-23.5505","-46.6333","10",True,"192.168.1.100","WiFi-Empresa",True,"8726c604-bbdd-4c03-b032-fe14ba6d34f7","2025-08-29 15:00:00","Saída para almoço","hash_1759934660627_saida1","2025-10-08 14:44:20.631"
"bdeea890-37e4-478e-9c55-455bbd2ea0af","64f9799f-acf6-48c5-a00f-33feac8fae33","0416f3e5-6597-45e0-8c8a-0b074fdc7c81","2025-08-29 13:00:00-03","ENTRADA","-23.5505","-46.6333","10",True,"192.168.1.100","WiFi-Empresa",True,"8726c604-bbdd-4c03-b032-fe14ba6d34f7","2025-08-29 16:00:00","Retorno do almoço","hash_1759934660632_entrada2","2025-10-08 14:44:20.637"
"aa957b21-2320-46e7-9673-f44527442f97","64f9799f-acf6-48c5-a00f-33feac8fae33","0416f3e5-6597-45e0-8c8a-0b074fdc7c81","2025-08-29 17:00:00-03","SAIDA","-23.5505","-46.6333","10",True,"192.168.1.100","WiFi-Empresa",True,"8726c604-bbdd-4c03-b032-fe14ba6d34f7","2025-08-29 20:00:00","Saída normal","hash_1759934660640_saida2","2025-10-08 14:44:20.644"
"0ffa1eef-e2f1-4692-8445-44a7725b7d38","64f9799f-acf6-48c5-a00f-33feac8fae33","0416f3e5-6597-45e0-8c8a-0b074fdc7c81","2025-09-01 08:00:00-03","ENTRADA","-23.5505","-46.6333","10",True,"192.168.1.100","WiFi-Empresa",True,"8726c604-bbdd-4c03-b032-fe14ba6d34f7","2025-09-01 11:00:00","Entrada normal","hash_1759934660646_entrada1","2025-10-08 14:44:20.65"
"e722d246-75ca-49a9-b14e-43ed2048694e","64f9799f-acf6-48c5-a00f-33feac8fae33","0416f3e5-6597-45e0-8c8a-0b074fdc7c81","2025-09-01 12:00:00-03","SAIDA","-23.5505","-46.6333","10",True,"192.168.1.100","WiFi-Empresa",True,"8726c604-bbdd-4c03-b032-fe14ba6d34f7","2025-09-01 15:00:00","Saída para almoço","hash_1759934660651_saida1","2025-10-08 14:44:20.654"
"f1aad25f-c744-40e0-ad5e-997729a8c392","64f9799f-acf6-48c5-a00f-33feac8fae33","0416f3e5-6597-45e0-8c8a-0b074fdc7c81","2025-09-01 13:00:00-03","ENTRADA","-23.5505","-46.6333","10",True,"192.168.1.100","WiFi-Empresa",True,"8726c604-bbdd-4c03-b032-fe14ba6d34f7","2025-09-01 16:00:00","Retorno do almoço","hash_1759934660660_entrada2","2025-10-08 14:44:20.663"
"f3d2f3b7-1b5b-4dad-b732-d1cedbbd5554","64f9799f-acf6-48c5-a00f-33feac8fae33","0416f3e5-6597-45e0-8c8a-0b074fdc7c81","2025-09-01 17:00:00-03","SAIDA","-23.5505","-46.6333","10",True,"192.168.1.100","WiFi-Empresa",True,"8726c604-bbdd-4c03-b032-fe14ba6d34f7","2025-09-01 20:00:00","Saída normal","hash_1759934660663_saida2","2025-10-08 14:44:20.666"
"580e0f04-70ab-4d5b-ad59-f28fdc9c75ba","64f9799f-acf6-48c5-a00f-33feac8fae33","0416f3e5-6597-45e0-8c8a-0b074fdc7c81","2025-09-02 08:00:00-03","ENTRADA","-23.5505","-46.6333","10",True,"192.168.1.100","WiFi-Empresa",True,"8726c604-bbdd-4c03-b032-fe14ba6d34f7","2025-09-02 11:00:00","Entrada normal","hash_1759934660667_entrada1","2025-10-08 14:44:20.67"
"67b0719a-14a3-4fad-816c-d880491a4aa8","64f9799f-acf6-48c5-a00f-33feac8fae33","0416f3e5-6597-45e0-8c8a-0b074fdc7c81","2025-09-02 12:00:00-03","SAIDA","-23.5505","-46.6333","10",True,"192.168.1.100","WiFi-Empresa",True,"8726c604-bbdd-4c03-b032-fe14ba6d34f7","2025-09-02 15:00:00","Saída para almoço","hash_1759934660672_saida1","2025-10-08 14:44:20.675"
